ID,Show,Title,Artist,JD,Hunter,Steve,Dave,YACHTSKI,Cover Art
118,BYR60,Keep On Running,Byrne & Barnes,87,88,81,78,83.5,https://img.discogs.com/zaa0b8qBUHmn2WKb3inotPIyd-E=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6102099-1489211376-2647.jpeg.jpg
121,YON55,Wing and A Prayer,Camel,29,29,37,35,32.5,https://i.scdn.co/image/6a134ad39aaeaf9aa541de342ff859fec17a5f75
122,BYR10,Love Will Keep Us Together,Captain & Tenille,59,45,51,52,51.75,https://i.scdn.co/image/700f3cb2f99401010d3acab6744cb1264ffa8280
123,YON21,No Love In the Morning,Captain & Tennille,39,23,38,27,31.75,https://i.scdn.co/image/7f5e7141a096c8e909453cd1761172a1855387aa
124,YON35,Of The Times,Carl Wilson,39,38,33,35,36.25,https://i.scdn.co/image/fd76cbb84bb29ba7321de455f921db83df3295e3
125,YON05,Nobody Does it Better,Carly Simon,29,12,14,15,17.5,https://i.scdn.co/image/2e815bdec9a9d0e73fed8efe029041b1f2594456
126,YON37,Stronger Than Before,Carole Bayer Sager,60,58,53,49,55,https://i.scdn.co/image/18ce78d0213d0ebd40ca85411c5cbc6f1cf8c2d5
127,BYR70,Lucky One (New York Boy),Carrera,57,71,77,68,68.25,https://img.discogs.com/xPizYQ91E91hYERVEJt1OifqZmc=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3612882-1357896057-7520.jpeg.jpg
128,BYR45,Through the Fire,Chaka Khan,87,81,76,82,81.5,https://i.scdn.co/image/2d3143a44c124074da3ff8cab412c81f6a067ab3
129,YON61,Listen! (I Just Want You),Charlie Dore,57,48,42,32,44.75,https://i.scdn.co/image/61b6bd088f34893cbfd4b1f9374430e2f2d4db60
130,YON15,Messin' With The Boys,Cherie and Marie Currie,39,33,19,30,30.25,https://i.scdn.co/image/e7881923b073c5b25a4248c89a842e386d5b5f8e
132,YON26,Hard For Me to Say I'm Sorry,Chicago,25,39,29,38,32.75,https://i.scdn.co/image/c6bb2d807439dc2533260805646b971743588e66
133,YON59,Bad Advice,Chicago,45,41,47,32,41.25,https://i.scdn.co/image/7821592e3420efed20b01edeb7a3dd32e84f2ce7
131,YON07,Sonny Think Twice,Chicago,75,45,62,60,60.5,https://i.scdn.co/image/7821592e3420efed20b01edeb7a3dd32e84f2ce7
135,YON70,"My Girl (Gone, Gone, Gone)",Chilliwack,39,31,44,32,36.5,https://i.scdn.co/image/5b476afba8064857043b43ce4b208daf9435da57
134,YON14,I Believe,Chilliwack,41,46,53,40,45,https://i.scdn.co/image/5b476afba8064857043b43ce4b208daf9435da57
136,YON25,Runnin' Around,China,88,65,72,72,74.25,https://img.discogs.com/Jtt2jUN2ZvDzGUdrHdg7YuELcR8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6127139-1428310516-2084.jpeg.jpg
137,YON63,You Did Cut Me,China Crisis,59,49,61,47,54,https://i.scdn.co/image/a7a2ee332730e43bf31f0d2ddaa8215e7083e0fd
138,YON36,Don`t Give Up On Us,Chris Christian & Christopher Cross,69,80,75,77,75.25,https://img.discogs.com/pRIYGXco1r66vNHCjCFUEFj_fFE=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3224388-1338674456-8299.jpeg.jpg
